item_name,category,quantity,price,expiry_date
Maruchan Instant Lunch (Veg),Carbs,12,0.59,2025-12-31
StarKist Chunk Light Soya,Protein,5,1.49,2026-06-15
Jif Creamy Peanut Butter,Fats/Protein,1,5.29,2024-11-20
Horizon Organic Whole Milk (Shelf-Stable),Dairy,1,3.99,2024-03-01
Quest Protein Bar (Cookies & Cream),Protein,6,2.49,2024-05-01
Ragu Old World Style Pasta Sauce,Vegetable,2,3.19,2025-01-15
Barilla Spaghetti No. 5,Carbs,3,1.39,2025-03-10
Fuji Apples,Fruit,4,0.99,2023-10-30
Monster Energy Drink (Green),Beverage,10,2.99,2024-08-01
Uncle Ben's Converted Rice (5lb),Carbs,1,12.50,2025-09-01